OPT or BUB,,,Greedy,,,,,Local Search,,,,,,,,,,,,,,,,,,Tabu Search,,,,,,,,,,,,
Input file name,Solution cost,,Cost,Cost / BUB,%,Time Spent,,Cost,LS_G / BUB,%,Time LS_G,Time Spent (G + LS_G),,Cost,LS_G_N1 / BUB,%,Time LS_G_N1,Time Spent (G + LS_G_N1),,Cost,LS_G_N2 / BUB,%,Time LS_G_N2,Time Spent (G + LS_G_N2),,Cost,TS_G_N1_ST/ BUB,%,Time TS_G_N1_ST,Time Spent (G + TS_G_N1_ST),,Cost,TS_T_N1_ST/ BUB,%,Time TS_T_N1_ST,Time Spent (T + TS_T_N1_ST),,
ga250a-1,257957,,258119,1.00062801164535,0.06%,4.20,,258011,1.00020933721512,0.02%,18.73,22.94,,258023,1.00025585659625,0.03%,0.05,4.26,,258040,1.00032175905287,0.03%,31.37,35.57,,257971,1.00005427261133,0.01%,45.36,49.56,,257985,1.00010854522265,0.01%,88.10,88.14,,
ga250a-2,257502,,257641,1.00053980163261,0.05%,4.12,,257583,1.00031456066361,0.03%,13.35,17.47,,257596,1.00036504570838,0.04%,0.05,4.16,,257583,1.00031456066361,0.03%,11.77,15.88,,257533,1.00012038741447,0.01%,46.55,50.67,,257502,1,0.00%,68.85,68.89,,
ga250a-3,257953,,258230,1.00107383903269,0.11%,3.86,,258120,1.00064740475978,0.06%,19.84,23.70,,258141,1.00072881493916,0.07%,0.09,3.95,,258137,1.00071330823832,0.07%,17.25,21.11,,257997,1.00017057370916,0.02%,74.42,78.28,,257985,1.00012405360666,0.01%,116.10,116.14,,
ga250a-4,257987,,258199,1.0008217468322,0.08%,3.56,,258108,1.00046901588065,0.05%,17.80,21.36,,258117,1.00050390135937,0.05%,0.07,3.63,,258108,1.00046901588065,0.05%,13.30,16.86,,257987,1,0.00%,51.48,55.04,,258035,1.00018605588654,0.02%,103.57,103.61,,
ga250a-5,258190,,258409,1.00084821255664,0.08%,3.85,,258204,1.00005422363376,0.01%,14.44,18.29,,258399,1.00080948138967,0.08%,0.07,3.91,,258243,1.00020527518494,0.02%,22.74,26.59,,258202,1.00004647740036,0.00%,57.84,61.68,,258226,1.00013943220109,0.01%,97.05,97.09,,
average,257917.80,,258119.60,1.00,0.08%,3.92,,258005.20,1.00,0.03%,16.83,20.75,,258055.20,1.00,0.05%,0.07,3.98,,258022.20,1.00,0.04%,19.28,23.20,,257938.00,1.00,0.01%,55.13,59.04,,257946.60,1.00,0.01%,94.73,94.77,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Avg Cost,General Avg Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04%,34.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(All Tests done in my computer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
