file_name,best_sol,min_cost,avg_cost,max_cost,sd_cost,avg_time,sd_time
ga250a-1,10,258022.0,258100.5,258200.0,52.434615368942,38.260012,13.202542519997849
ga250a-2,1,257544.0,257677.5,257779.0,77.49874550956007,28.419366000000004,8.445338208596635
ga250a-3,3,258013.0,258150.7,258349.0,96.35126707348829,32.154975,12.263180863467548
ga250a-4,9,258069.0,258172.7,258281.0,66.75502477966235,27.847856,8.733474935167813
ga250a-5,10,258215.0,258375.2,258533.0,92.1132153626419,30.279964999999997,8.801446346478452
ga250b-1,3,276322.0,276806.8,277492.0,375.35162773650575,12.255368999999998,4.749054372425572
ga250b-2,4,275150.0,275308.3,275482.0,137.7123007497071,10.552335999999999,3.8439019363234426
ga250b-3,4,276093.0,276330.1,276690.0,209.12646359984618,10.510329,4.149432615402443
ga250b-4,4,276332.0,276683.9,277254.0,398.7584760506317,11.690392999999998,2.968023943880095
ga250b-5,1,276404.0,277097.5,277963.0,493.4732346676295,9.798661,2.7792552256452923
ga250c-1,1,334135.0,335006.4,336312.0,748.4104934236736,3.972184,0.6851021315460118
ga250c-2,6,330728.0,331134.1,332126.0,453.0951457598185,4.898147,1.45045613107701
ga250c-3,4,333662.0,334453.8,335097.0,593.6961063260114,6.354691,2.6536213874186263
ga250c-4,1,332423.0,332423.0,332423.0,0.0,5.320074,0.8307285079200731
ga250c-5,9,333538.0,334026.9,334806.0,408.2440582679816,3.2381460000000004,0.7703930265664547
ga500a-1,7,511536.0,511682.9,511796.0,100.56888186710638,482.46034199999997,132.64513614606795
ga500a-2,5,511367.0,511606.1,511730.0,111.5710535936629,523.080797,163.13097088306063
ga500a-3,5,510923.0,511026.1,511187.0,81.08767545756328,390.106357,101.94705680083845
ga500a-4,2,511136.0,511242.7,511392.0,97.93881309833765,413.90289699999994,159.7630777724891
ga500a-5,3,511377.0,511500.5,511575.0,79.754136082226,371.47464499999995,105.952678168892
ga500b-1,9,538060.0,538743.7,539779.0,479.4981288342589,117.35788500000001,34.98948107854837
ga500b-2,7,537876.0,538482.4,538960.0,342.70888196511305,111.992418,38.95525093760184
ga500b-3,6,538095.0,538591.4,538894.0,217.90120085335312,174.354273,60.64101924794856
ga500b-4,10,538399.0,538721.9,539244.0,318.01588010663875,141.36704300000002,68.74823643446557
ga500b-5,8,537673.0,537941.3,538333.0,174.29161387360742,120.470517,39.341262325963406
ga500c-1,2,621505.0,622214.6,624408.0,964.7810574886349,62.289054,38.09036814832975
ga500c-2,8,621464.0,622533.7,623084.0,619.6807511399182,53.55808299999999,20.30451437844963
ga500c-3,1,621428.0,622486.3,623733.0,636.7537549511933,46.254522,7.759446312262524
ga500c-4,9,622042.0,622941.7,625414.0,1301.4270842254496,47.373967,10.583799596968998
ga500c-5,6,621911.0,622662.1,623227.0,468.8277224453918,44.7079,15.971444432284626
ga750a-1,7,763743.0,763847.2,764025.0,97.89086894201226,1186.952513,240.9948946565911
ga750a-2,10,763835.0,763939.1,764093.0,79.01961781734963,1143.024577,230.18216584868148
ga750a-3,3,763901.0,764086.6,764317.0,111.1217550457355,1081.61731,192.49620342802208
ga750a-4,6,764185.0,764365.8,764541.0,90.33124228822126,1193.4286590000002,254.4127425864022
ga750a-5,2,764071.0,764225.2,764529.0,130.58739091760225,1035.259235,157.90036117205955
ga750b-1,2,796636.0,797147.6,798163.0,408.42494210482954,716.4749810000001,348.43023259532134
ga750b-2,2,796252.0,796874.1,797633.0,391.02783362142736,534.1475539999999,145.0055196668343
ga750b-3,8,796496.0,796905.2,797275.0,283.4050105414511,497.61755999999997,186.84117192735403
ga750b-4,1,797034.0,797573.2,798045.0,310.5056091817559,612.7342289999999,271.99641195600077
ga750b-5,7,796553.0,797068.2,797735.0,387.50621500392316,637.8789340000001,255.98997131997564
ga750c-1,5,902026.0,903090.6,903975.0,705.4670950669649,180.033178,61.633496155483286
ga750c-2,2,899733.0,900541.4,902677.0,994.5921777291435,336.256862,65.8210400341157
ga750c-3,6,900019.0,900368.8,901457.0,405.20825921164703,169.43272500000003,61.8169767623462
ga750c-4,1,900044.0,901037.8,902412.0,1067.3091606673506,257.18866099999997,89.08125821535221
ga750c-5,6,900036.0,900331.0,901078.0,287.4013840529575,232.15461100000002,102.19286942329569
gs250a-1,4,258080.0,258174.4,258341.0,81.84836929075348,32.755533,7.9086888287250945
gs250a-2,7,257605.0,257705.6,257838.0,74.16528088592997,33.593076999999994,12.390062368879926
gs250a-3,6,257745.0,257794.0,257893.0,46.61663985221491,29.192384999999994,9.59449746186989
gs250a-4,4,258044.0,258116.1,258205.0,64.55221831113853,28.577568000000003,15.788849967311885
gs250a-5,2,258050.0,258140.7,258252.0,74.6964970173747,39.264657,21.607348942002243
gs250b-1,3,276892.0,277221.4,277493.0,196.83789156449419,9.879777,2.6987431398051864
gs250b-2,10,275685.0,276147.9,276595.0,276.67447780138065,11.205093999999999,4.291397855444721
gs250b-3,5,275818.0,276127.8,276315.0,152.4531257651202,13.155927,4.722842581889876
gs250b-4,8,276114.0,276445.2,277239.0,363.6976155483502,11.339404,3.687482789176257
gs250b-5,3,276331.0,276566.8,277233.0,322.5842870045319,9.962787,2.6308424624065028
gs250c-1,4,332935.0,333087.2,333193.0,119.29589729370878,4.176817000000001,2.3561887813446623
gs250c-2,9,334630.0,335127.8,336119.0,564.1224847298481,6.3754729999999995,1.8281136986525517
gs250c-3,1,333000.0,333468.1,333897.0,384.79155973649483,5.798036000000001,1.6897565679127997
gs250c-4,2,333158.0,333885.0,334453.0,308.15400190308884,5.222635,2.317703632684971
gs250c-5,3,334797.0,335317.2,335728.0,383.25413674653703,3.7763569999999995,0.5282374832728594
gs500a-1,6,511349.0,511437.9,511538.0,65.34940278567544,430.1179010000001,149.11951203279907
gs500a-2,1,511441.0,511523.4,511638.0,63.34771766475358,373.961036,122.18003887575018
gs500a-3,1,511320.0,511436.2,511571.0,104.58043156664955,504.3244529999999,221.8286261227488
gs500a-4,4,511311.0,511432.0,511688.0,102.32301793829187,432.96812299999993,181.96144710888217
gs500a-5,8,511404.0,511554.3,511753.0,102.94340408420759,387.285025,116.84590277251233
gs500b-1,6,537996.0,538553.4,539478.0,517.533938769022,120.825126,46.55392914692073
gs500b-2,10,537807.0,538258.8,538774.0,354.0479565758791,122.758791,32.683430818458206
gs500b-3,3,538083.0,538623.9,539223.0,387.15068843482067,168.575725,78.98227748653424
gs500b-4,7,537924.0,538445.1,539480.0,518.6455544117881,129.97440400000002,60.261622448532464
gs500b-5,9,538672.0,538988.9,539734.0,322.10848759040454,132.74803300000002,41.391905668997666
