Input file name,Solution cost,Time spent,Optimal
ga250a-1,258011.00000,0.02455,1
ga250a-2,257583.00000,0.01833,1
ga250a-3,258120.00000,0.03068,1
ga250a-4,258108.00000,0.02330,1
ga250a-5,258204.00000,0.02649,1
ga250b-1,276678.00000,0.01525,1
ga250b-2,275216.00000,0.00914,1
ga250b-3,276093.00000,0.00834,1
ga250b-4,276421.00000,0.01109,1
ga250b-5,276756.00000,0.01737,1
ga250c-1,335223.00000,0.00418,1
ga250c-2,331177.00000,0.00524,1
ga250c-3,333662.00000,0.00419,1
ga250c-4,332423.00000,0.00497,1
ga250c-5,334162.00000,0.00539,1
ga500a-1,511409.00000,0.28848,1
ga500a-2,511505.00000,0.11944,1
ga500a-3,510963.00000,0.17639,1
ga500a-4,511107.00000,0.12851,1
ga500a-5,511239.00000,0.18740,1
ga500b-1,538060.00000,0.04935,1
ga500b-2,538099.00000,0.07042,1
ga500b-3,538979.00000,0.09483,1
ga500b-4,538287.00000,0.04509,1
ga500b-5,537756.00000,0.07199,1
ga500c-1,621593.00000,0.03053,1
ga500c-2,622628.00000,0.04029,1
ga500c-3,621491.00000,0.02871,1
ga500c-4,622117.00000,0.02141,1
ga500c-5,622034.00000,0.03618,1
ga750a-1,763571.00000,0.58138,1
ga750a-2,763812.00000,0.35907,1
ga750a-3,763774.00000,0.79309,1
ga750a-4,763968.00000,0.57178,1
ga750a-5,763945.00000,1.07292,1
ga750b-1,797200.00000,0.15502,1
ga750b-2,796362.00000,0.15901,1
ga750b-3,796517.00000,0.19238,1
ga750b-4,797045.00000,0.51038,1
ga750b-5,796537.00000,0.23820,1
ga750c-1,902832.00000,0.08272,1
ga750c-2,900295.00000,0.10970,1
ga750c-3,900366.00000,0.06780,1
ga750c-4,900502.00000,0.08726,1
ga750c-5,900735.00000,0.07295,1
gs250a-1,258095.00000,0.02366,1
gs250a-2,257616.00000,0.01619,1
gs250a-3,257758.00000,0.02071,1
gs250a-4,258093.00000,0.01725,1
gs250a-5,257930.00000,0.01701,1
gs250b-1,276850.00000,0.00657,1
gs250b-2,276056.00000,0.00846,1
gs250b-3,276135.00000,0.00857,1
gs250b-4,276660.00000,0.00974,1
gs250b-5,276370.00000,0.00968,1
gs250c-1,332935.00000,0.00454,1
gs250c-2,334630.00000,0.00680,1
gs250c-3,333000.00000,0.00539,1
gs250c-4,333158.00000,0.00420,1
gs250c-5,335021.00000,0.00737,1
gs500a-1,511417.00000,0.09718,1
gs500a-2,511338.00000,0.12493,1
gs500a-3,511240.00000,0.14104,1
gs500a-4,511370.00000,0.34814,1
gs500a-5,511411.00000,0.16573,1
gs500b-1,538490.00000,0.05900,1
gs500b-2,538055.00000,0.10351,1
gs500b-3,537975.00000,0.08579,1
gs500b-4,538186.00000,0.08385,1
gs500b-5,538698.00000,0.06150,1
gs500c-1,620366.00000,0.02875,1
gs500c-2,620434.00000,0.02532,1
gs500c-3,621204.00000,0.02910,1
gs500c-4,620437.00000,0.04188,1
gs500c-5,623868.00000,0.04404,1
gs750a-1,763822.00000,0.96003,1
gs750a-2,763650.00000,0.35208,1
gs750a-3,763918.00000,0.35201,1
gs750a-4,764040.00000,0.41864,1
gs750a-5,763808.00000,0.68403,1
gs750b-1,798050.00000,0.18916,1
gs750b-2,796418.00000,0.21134,1
gs750b-3,797304.00000,0.18265,1
gs750b-4,797161.00000,0.20456,1
gs750b-5,796620.00000,0.19954,1
gs750c-1,900836.00000,0.10447,1
gs750c-2,897886.00000,0.11943,1
gs750c-3,902386.00000,0.06649,1
gs750c-4,902204.00000,0.11141,1
gs750c-5,900936.00000,0.09496,1
